name of colorset,light color,dark color,contrast color,web
serendipity,#91b7cc,#25253d,#febf02,
lime_and_melon_salad,#CBE4BF,#F07A81,#DCFA7C,http://www.colourlovers.com/palette/82750/Lime_and_Melon_Salad
